,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
0,Introdução À Algoritmia e Programação com Python,Filipe Portela,Tiago C. Pereira,," 1,0 ",1 classificação,384 páginas,21 novembro 2023,Fca,  Capa comum – 21 novembro 2023 
1,Python: guia básico para iniciantes,Francisco Jonas,,," 5,0 ",1 classificação,62 páginas,3 dezembro 2023,vazio,  eBook Kindle 
2,Código limpo: habilidades práticas do Agile software,Robert C. Martin,,," 4,9 ",6.501 avaliações de clientes,425 páginas,8 setembro 2009,Alta Books,"  Capa comum – Edição padrão, 8 setembro 2009 "
3,Python descomplicado com o Chatgpt.,Clayton Costa,,," 4,4 ",4 avaliações de clientes,27 páginas,15 março 2024,vazio,  eBook Kindle 
4,"A próxima onda: Inteligência artificial, poder e o maior dilema do século XXI",Mustafa Suleyman,Michael Bhaskar,," 4,6 ",134 avaliações de clientes,420 páginas,16 outubro 2023,Record,  Capa comum – 16 outubro 2023 
5,Aprendendo Química com python,Rodrigo Queiroz de Albuquerque,Gerd Bruno da Rocha,," 5,0 ",2 avaliações de clientes,531 páginas,30 janeiro 2023,vazio,  eBook Kindle 
6,Python Progressivo,Francisco J M De Matos,,," 4,8 ",17 avaliações de clientes,617 páginas,7 outubro 2019,Clube de Autores,  eBook Kindle 
7,Python Para Todos: Explorando Dados com Python 3,Yuri Loia de Medeiros,,," 4,8 ",24 avaliações de clientes,262 páginas,24 abril 2020,vazio,  Capa comum – 24 abril 2020 
8,Python e os Paradigmas da Programação,Rafaél José,,," 5,0 ",1 classificação,245 páginas,23 novembro 2023,vazio,  eBook Kindle 
9,"Python Fluente: Programação Clara, Concisa e Eficaz",Luciano Ramalho,,," 4,8 ",768 avaliações de clientes,800 páginas,15 outubro 2015,Novatec Editora,  Capa comum – 15 outubro 2015 
10,PYTHON TOTAL: Deep Learning e Visão Computacional,Fernando Feltrin,,,,,1651 páginas,9 maio 2024,vazio,  eBook Kindle 
11,Programação de redes com Python: Guia abrangente de programação e gerenciamento de redes com Python 3,Brandon Rhodes,John Goerzen,," 4,7 ",96 avaliações de clientes,713 páginas,9 outubro 2018,Novatec Editora,  eBook Kindle 
12,Modelos Matemáticos para Sistemas Logísticos e de Produção: Aplicações com MathProg e Python,Ricardo Saraiva de  Camargo,,," 5,0 ",3 avaliações de clientes,vazio,8 abril 2024,vazio,  [Print Replica] eBook Kindle 
13,"Informação, conhecimento, ação autônoma e big data: continuidade ou revolução?",Daniel Martínez-Ávila,,," 4,5 ",1.282 avaliações de clientes,259 páginas,1 janeiro 2019,SciELO - Editora UNESP,  eBook Kindle 
14,Tópicos de análise de dados Python,adam hazlewood,,," 5,0 ",1 classificação,23 páginas,15 abril 2023,vazio,  eBook Kindle 
15,PYTHON TOTAL Volume 5,Fernando Feltrin,,,,,1318 páginas,9 maio 2024,vazio,  eBook Kindle 
16,"Domine o Excel ® (3 em 1): Excel - 70 Fórmulas Incríveis, Excel - 51 Macros incríveis e 51 Dicas e Truques Incríveis",Luiz Felipe Araujo,,," 4,4 ",416 avaliações de clientes,142 páginas,10 fevereiro 2018,vazio,  eBook Kindle 
17,Python para todos 2: Intermediário com 22 projetos e 140 vídeos,Anibal Azevedo,,," 4,5 ",9 avaliações de clientes,vazio,7 outubro 2021,vazio,  [Print Replica] eBook Kindle 
18,Python para Pentesters: Guia prático para criação das próprias ferramentas,Thiago  Cavalcante,,,,,264 páginas,28 maio 2023,vazio,  eBook Kindle 
19,Introdução ao Desenvolvimento de Jogos em Python com PyGame,Harrison Kinsley,Will McGugan,," 4,6 ",14 avaliações de clientes,442 páginas,9 dezembro 2019,Novatec Editora,  eBook Kindle 
20,Desenvolvimento web com Flask: Desenvolvendo aplicações web com Python,Miguel Grinberg,,," 4,8 ",104 avaliações de clientes,398 páginas,9 abril 2019,Novatec Editora,  eBook Kindle 
21,Python do zero ao absoluto : Curso Completo de Linguagem de Programação Python,Jario Cláudio da Conceição,,," 5,0 ",1 classificação,vazio,19 agosto 2023,vazio,  eBook Kindle 
22,Chatbots para Telegram: Programe seus primeiros bots usando Python,Priscila Keli L. P. Frizzarin,Fernando Bryan Frizzarin,,,,176 páginas,31 janeiro 2023,Casa do Código,  eBook Kindle 
23,Programação Orientada à Objetos AVANÇADA em Python: Fernando Feltrin,Fernando Feltrin,,," 5,0 ",1 classificação,230 páginas,23 janeiro 2024,vazio,  eBook Kindle 
24,"PYTHON BÁSICO - Anotações, Exemplos, Exercícios e Projetos: Vários exercícios e projetos básicos do ""hello world"" até o ""for"" com resoluções comentadas (Python, do básico ao avançado! Livro 1)",Code em  um minuto,,," 4,4 ",9 avaliações de clientes,73 páginas,31 março 2023,vazio,  eBook Kindle 
25,Reconhecimento de Padrões: um Estudo Dirigido,Rogério Galante Negri,,," 4,7 ",74 avaliações de clientes,276 páginas,9 dezembro 2021,Blucher,  Capa comum – 9 dezembro 2021 
26,Pandas Python: Data Wrangling para Ciência de Dados,Eduardo Corrêa,,," 4,6 ",27 avaliações de clientes,247 páginas,24 janeiro 2020,Casa do Código,  eBook Kindle 
27,Python na Prática Vol. 2: Aprenda Python Através de Exercícios Comentados (Python na Prática - Fernando Feltrin),Fernando Feltrin,,," 4,5 ",20 avaliações de clientes,138 páginas,9 maio 2022,vazio,  eBook Kindle 
28,360 Exercícios Resolvidos e Comentados em Python (Exercícios Resolvidos e Comentados em Python - Fernando Feltrin Livro 3),Fernando Feltrin,,," 5,0 ",1 classificação,735 páginas,22 abril 2023,vazio,  eBook Kindle 
29,O codificador limpo: um código de conduta para programadores profissionais,Bob Martin,,," 4,9 ",1.696 avaliações de clientes,244 páginas,4 maio 2012,Alta Books,  Capa comum – 4 maio 2012 
30,Desenvolvimento Avançado de Aplicativos com Python e KivyMD,Francisco Iago Lira Passos,,,,,81 páginas,15 abril 2024,vazio,  eBook Kindle 
