,0
0,Curso Intensivo de Python: uma Introdução Prática e Baseada em Projetos à Programação
1,Introdução à Programação com Python – 4ª Edição: Algoritmos e lógica de programação para iniciantes
2,"Python Para Análise de Dados: Tratamento de Dados com Pandas, NumPy & Jupyter"
3,Pense em Python: Pense Como um Cientista da Computação
4,Data Science do zero: noções fundamentais com Python
5,Introdução à Programação com Python: Algoritmos e Lógica de Programação Para Iniciantes
6,Use a cabeça! Python ― 2ª edição
7,Começando a programar em Python Para leigos
8,Problemas Clássicos de Ciência da Computação com Python
9,Web Scraping com Python: Coletando Mais Dados da web Moderna
10,Python para excel: um ambiente moderno para automação e análise de dados (O’Reilly)
11,"Python e Mercado Financeiro: Programação Para Estudantes, Investidores e Analistas"
12,Sistemas de Controle com Python: Resposta em Frequência
13,Fundamentos de Python: Primeiros Programas
14,"Python Levado a Sério: Conselhos de um Faixa-preta Sobre Implantação, Escalabilidade, Testes e Outros Assuntos"
15,Python para Data Science: e Machine Learning descomplicado
16,Python Para Ciência de Dados: uma Introdução Prática
17,Python para Data Science Para Leigos: os primeiros passos para o sucesso
18,Introdução à Computação Usando Python - um Foco no Desenvolvimento de Aplicações
19,O Guia do Mochileiro Python: Melhores Práticas Para Desenvolvimento
20,Jornada Python: uma Jornada Imersiva na Aplicabilidade de uma das Mais Poderosas Linguagens de Programação do Mundo (Volume 1)
21,"Python Fluente: Programação Clara, Concisa e Eficaz"
22,400+ Exercícios Resolvidos e Comentados em Python: Do básico ao avançado
23,"Estruturas de Dados e Algoritmos com Python: Armazene, manipule e acesse dados de forma eficaz e melhore o desempenho de suas aplicações"
24,6 em 1 - Coleção Python do ZERO às Redes Neurais Artificiais
25,"Projetos com Python e Arduino: Como Desenvolver Projetos Práticos de Eletrônica, Automação e Iot"
26,Lógica de programação: A construção de algoritmos e estruturas de dados com aplicações em Python
27,Machine Learning – Guia de Referência Rápida: Trabalhando com Dados Estruturados em Python
28,Python e R para o Cientista de Dados Moderno: O melhor de dois mundos
29,Python Essencial (Série Programação Essencial)
30,"Mãos à obra aprendizado de máquina com Scikit-Learn, Keras & TensorFlow: conceitos, ferramentas e técnicas para a construção de sistemas inteligentes"
31,Entendendo Algoritmos: Um Guia Ilustrado Para Programadores e Outros Curiosos
32,Aprendendo Padrões de Projeto em Python: Tire Proveito da Eficácia dos Padrões de Projeto (design Patterns) em Python Para Resolver Problemas do Mundo Real em Arquitetura e Design de Software
33,Fundamentos de Python: Estruturas de Dados
