,0
0,Curso Intensivo de Python: uma Introdução Prática e Baseada em Projetos à Programação
1,Introdução à Programação com Python – 4ª Edição: Algoritmos e lógica de programação para iniciantes
2,"Python Para Análise de Dados: Tratamento de Dados com Pandas, NumPy & Jupyter"
3,Pense em Python: Pense Como um Cientista da Computação
4,Data Science do zero: noções fundamentais com Python
5,Introdução à Programação com Python: Algoritmos e Lógica de Programação Para Iniciantes
6,Use a cabeça! Python ― 2ª edição
7,Sistemas de Controle com Python: Resposta em Frequência
8,Python para excel: um ambiente moderno para automação e análise de dados (O’Reilly)
9,Problemas Clássicos de Ciência da Computação com Python
10,Web Scraping com Python: Coletando Mais Dados da web Moderna
11,"Python e Mercado Financeiro: Programação Para Estudantes, Investidores e Analistas"
12,Começando a programar em Python Para leigos
13,Fundamentos de Python: Primeiros Programas
14,Python Para Ciência de Dados: uma Introdução Prática
15,"Python Levado a Sério: Conselhos de um Faixa-preta Sobre Implantação, Escalabilidade, Testes e Outros Assuntos"
16,Python para Data Science: e Machine Learning descomplicado
17,Introdução à Computação Usando Python - um Foco no Desenvolvimento de Aplicações
18,O Guia do Mochileiro Python: Melhores Práticas Para Desenvolvimento
19,Python para Data Science Para Leigos: os primeiros passos para o sucesso
20,Jornada Python: uma Jornada Imersiva na Aplicabilidade de uma das Mais Poderosas Linguagens de Programação do Mundo (Volume 1)
21,400+ Exercícios Resolvidos e Comentados em Python: Do básico ao avançado
22,"Python Fluente: Programação Clara, Concisa e Eficaz"
23,6 em 1 - Coleção Python do ZERO às Redes Neurais Artificiais
24,"Estruturas de Dados e Algoritmos com Python: Armazene, manipule e acesse dados de forma eficaz e melhore o desempenho de suas aplicações"
25,Lógica de programação: A construção de algoritmos e estruturas de dados com aplicações em Python
26,"Streamlit Faça Tudo! Desenvolva Aplicação web, Dashboards, Ciência de Dados e Plotagem de Mapas.: Do Iniciante ao Avançado!"
27,"Projetos com Python e Arduino: Como Desenvolver Projetos Práticos de Eletrônica, Automação e Iot"
28,Python Eficaz: 59 Maneiras de Programar Melhor em Python
29,Machine Learning – Guia de Referência Rápida: Trabalhando com Dados Estruturados em Python
30,"Mãos à obra aprendizado de máquina com Scikit-Learn, Keras & TensorFlow: conceitos, ferramentas e técnicas para a construção de sistemas inteligentes"
31,Entendendo Algoritmos: Um Guia Ilustrado Para Programadores e Outros Curiosos
32,Python Essencial (Série Programação Essencial)
33,Python e R para o Cientista de Dados Moderno: O melhor de dois mundos
