,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
0,Curso Intensivo de Python: uma Introdução Prática e Baseada em Projetos à Programação,Eric Matthes,,," 4,9 ",165 avaliações de clientes,624 páginas,24 abril 2023,Novatec Editora,  Capa comum – 24 abril 2023 
1,Introdução à Programação com Python – 4ª Edição: Algoritmos e lógica de programação para iniciantes,Nilo Ney Coutinho Menezes,,," 5,0 ",14 avaliações de clientes,552 páginas,11 março 2024,Novatec Editora,  Capa comum – 11 março 2024 
2,Pense em Python: Pense Como um Cientista da Computação,Allen B. Downey,,," 4,8 ",562 avaliações de clientes,312 páginas,7 junho 2016,Novatec Editora,  Capa comum – 7 junho 2016 
3,"Python Para Análise de Dados: Tratamento de Dados com Pandas, NumPy & Jupyter",Wes McKinney,,," 4,8 ",130 avaliações de clientes,624 páginas,16 março 2023,Novatec Editora,  Capa comum – 16 março 2023 
4,Data Science do Zero - 2º Edição: Noções Fundamentais com Python,Joel Grus,,," 4,8 ",725 avaliações de clientes,416 páginas,30 março 2021,Editora Alta Books,  Capa comum – 30 março 2021 
5,Use a Cabeça! Python,Barry,Paul,," 4,7 ",320 avaliações de clientes,616 páginas,13 agosto 2018,Alta Books,  Capa comum – 13 agosto 2018 
6,Python Para Data Science: e Machine Learning Descomplicado,Amilcar Netto,Francisco Maciel,," 4,5 ",155 avaliações de clientes,384 páginas,8 julho 2021,Editora Alta Books,  Capa comum – 8 julho 2021 
7,Introdução à Programação com Python: Algoritmos e Lógica de Programação Para Iniciantes,Nilo Ney Coutinho Menezes,,," 4,8 ",2.514 avaliações de clientes,328 páginas,8 janeiro 2019,Novatec Editora,  Capa comum – 8 janeiro 2019 
8,Web Scraping com Python: Coletando Mais Dados da web Moderna,Ryan Mitchell,,," 4,8 ",396 avaliações de clientes,328 páginas,1 abril 2019,Novatec Editora,  Capa comum – 1 abril 2019 
9,Começando a Programar em Python Para Leigos,John Paul Mueller,,," 4,6 ",218 avaliações de clientes,391 páginas,5 novembro 2020,Editora Alta Books,"  Capa comum – Edição padrão, 5 novembro 2020 "
10,Problemas Clássicos de Ciência da Computação com Python,David Kopec,,," 4,8 ",274 avaliações de clientes,272 páginas,2 outubro 2019,Novatec Editora,  Capa comum – 2 outubro 2019 
11,"Python e Mercado Financeiro: Programação Para Estudantes, Investidores e Analistas",Marco Antonio Leonel Caetano,,," 4,7 ",319 avaliações de clientes,532 páginas,21 maio 2021,Blucher,  Capa comum – 21 maio 2021 
12,Python para excel: um ambiente moderno para automação e análise de dados (O’Reilly),Felix Zumstein,Leandro Menegaz,," 4,7 ",9 avaliações de clientes,454 páginas,30 abril 2024,Alta Books,  eBook Kindle 
